ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1,CreditScoreGroup
24900,2019,cf,male,nopre,type2,p3,l2,nopc,b/c,136500,3.99,0.3904,2596.45,300,neg_amm,not_int,not_lpsm,168000,sb,pr,home,1u,4020,exp,723,cib,55-64,to_inst,81.25,north,direct,1,44,700-800
24901,2019,cf,"sex not available",nopre,type1,p3,l1,nopc,nob/c,466500,4.375,0.1871,1150,360,not_neg,not_int,not_lpsm,708000,sb,pr,home,1u,9540,exp,501,exp,35-44,to_inst,65.88983051,south,direct,0,36,500-600
24902,2019,cf,joint,nopre,type2,p3,l1,nopc,b/c,206500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1u,3780,crif,884,exp,65-74,to_inst,80.03875969,north,direct,1,51,800-900
24903,2019,cf,joint,nopre,type2,p4,l1,nopc,b/c,436500,3.625,0.6146,0,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1u,5760,crif,520,exp,55-64,to_inst,85.92519685,north,direct,0,39,500-600
24904,2019,cf,female,nopre,type1,p4,l1,nopc,nob/c,226500,4.5,0.4657,3953.13,360,not_neg,not_int,not_lpsm,298000,sb,pr,home,1u,7860,cib,773,cib,35-44,to_inst,76.00671141,north,direct,0,39,700-800
24905,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,76500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,138000,sb,pr,home,1u,2220,exp,685,cib,45-54,not_inst,55.43478261,north,direct,1,20,600-700
24906,2019,cf,joint,nopre,type2,p1,l1,nopc,b/c,356500,3.99,0.3904,2596.45,360,neg_amm,not_int,not_lpsm,368000,sb,pr,home,1u,5340,crif,846,exp,25-34,not_inst,96.875,north,direct,1,44,800-900
24907,2019,cf,male,pre,type1,p3,l1,nopc,nob/c,156500,3.99,0.3904,2596.45,360,neg_amm,not_int,not_lpsm,168000,sb,pr,home,1u,3120,crif,534,cib,65-74,to_inst,93.1547619,north,direct,1,44,500-600
24908,2019,cf,female,nopre,type1,p1,l1,nopc,nob/c,406500,4.56,0.458,895,360,not_neg,not_int,not_lpsm,598000,sb,pr,home,1u,5340,cib,629,cib,45-54,not_inst,67.97658863,north,direct,0,44,600-700
24909,2019,cf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,586500,3.175,-0.3446,650,360,not_neg,not_int,not_lpsm,748000,sb,sr,home,1u,12540,cib,688,exp,55-64,to_inst,78.40909091,south,direct,0,31,600-700
24910,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,306500,2.99,0.2837,10470,180,not_neg,not_int,not_lpsm,558000,sb,pr,home,1u,16860,exp,668,exp,65-74,to_inst,54.92831541,north,direct,0,6,600-700
24911,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,136500,3.99,0.4819,4156.25,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1u,2100,exp,758,cib,>74,to_inst,68.93939394,north,direct,0,36,700-800
24912,2019,cf,male,pre,type1,p3,l1,nopc,nob/c,306500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,448000,sb,pr,home,1u,2880,exp,692,cib,55-64,to_inst,68.41517857,south,direct,1,44,600-700
24913,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,316500,3.625,0.0454,6661.88,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1u,2760,cib,620,cib,65-74,not_inst,62.30314961,south,direct,0,44,600-700
24914,2019,cf,male,nopre,type1,p3,l2,nopc,nob/c,336500,4.5,0.0759,0,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1u,4980,cib,846,cib,35-44,not_inst,78.62149533,south,direct,0,35,800-900
24915,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,426500,4.99,1.2706,169.5,360,not_neg,not_int,not_lpsm,568000,sb,pr,home,1u,8940,exp,533,exp,45-54,not_inst,75.08802817,north,direct,0,34,500-600
24916,2019,cf,joint,nopre,type3,p1,l1,nopc,nob/c,476500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,6780,equi,518,exp,45-54,to_inst,75.13586957,south,direct,1,39,500-600
24917,2019,cf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,196500,5.25,1.2158,5245.09,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1u,3840,exp,812,exp,25-34,to_inst,76.1627907,south,direct,0,49,800-900
24918,2019,cf,female,nopre,type1,p1,l1,nopc,nob/c,186500,4.25,1.0186,5376.25,360,not_neg,not_int,not_lpsm,218000,sb,pr,home,1u,3840,crif,534,cib,55-64,to_inst,85.55045872,central,direct,0,46,500-600
24919,2019,cf,female,nopre,type1,p1,l1,nopc,nob/c,436500,3.625,0.266,6260,360,not_neg,not_int,not_lpsm,468000,sb,pr,home,1u,4920,cib,647,exp,35-44,not_inst,93.26923077,south,direct,0,42,600-700
24920,2019,cf,male,nopre,type2,p1,l1,nopc,b/c,246500,4.25,1.4614,0,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1u,5400,exp,683,cib,25-34,not_inst,95.54263566,north,direct,0,39,600-700
24921,2019,cf,male,nopre,type3,p4,l1,nopc,nob/c,216500,2.99,-0.6203,2101.63,360,not_neg,not_int,not_lpsm,228000,sb,pr,home,1u,5760,cib,705,cib,55-64,to_inst,94.95614035,north,direct,0,39,700-800
24922,2019,cf,male,nopre,type1,p1,l1,nopc,nob/c,306500,4.125,0.2848,3752.4,360,not_neg,not_int,not_lpsm,318000,sb,pr,home,1u,5580,exp,701,cib,35-44,not_inst,96.3836478,north,direct,0,37,700-800
24923,2019,cf,male,pre,type1,p1,l1,nopc,nob/c,316500,3.75,0.1681,5560.63,360,not_neg,int_only,not_lpsm,338000,sb,pr,home,1u,3720,exp,591,cib,45-54,to_inst,93.63905325,north,direct,0,41,500-600
24924,2019,cf,male,pre,type1,p1,l1,nopc,nob/c,506500,4.25,0.147,0,360,not_neg,not_int,not_lpsm,538000,sb,pr,home,1u,7500,cib,647,cib,25-34,not_inst,94.14498141,north,direct,0,36,600-700
24925,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,266500,4.99,1.3774,2337.4,360,not_neg,not_int,not_lpsm,408000,sb,pr,home,1u,3540,exp,889,cib,45-54,not_inst,65.31862745,south,direct,0,40,800-900
24926,2019,cf,male,nopre,type1,p1,l1,nopc,nob/c,406500,4,0.34,4070,360,not_neg,not_int,not_lpsm,1018000,sb,ir,home,1u,9180,exp,651,cib,55-64,not_inst,39.93123772,south,direct,0,38,600-700
24927,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,656500,3.375,-0.1555,13016.46,360,not_neg,not_int,not_lpsm,1108000,sb,pr,home,1u,9660,exp,716,exp,45-54,not_inst,59.25090253,north,direct,0,42,700-800
24928,2019,ncf,male,pre,type1,p4,l1,nopc,nob/c,256500,3.99,0.3904,2596.45,180,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,3780,exp,780,exp,65-74,to_inst,61.36363636,central,direct,1,45,700-800
24929,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,396500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,7560,crif,799,cib,35-44,not_inst,94.85645933,north,direct,1,42,700-800
24930,2019,cf,male,nopre,type1,p3,l1,nopc,nob/c,396500,4.99,0.6835,5072.5,360,not_neg,not_int,not_lpsm,528000,sb,pr,home,1u,9060,exp,766,cib,35-44,to_inst,75.09469697,south,direct,0,30,700-800
24931,2019,cf,female,pre,type2,p3,l1,nopc,b/c,166500,3.99,1.2351,1657.5,360,not_neg,not_int,not_lpsm,198000,sb,pr,home,1u,3480,cib,868,cib,35-44,to_inst,84.09090909,central,direct,0,56,800-900
24932,2019,cf,male,nopre,type3,p4,l1,nopc,nob/c,466500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,0,equi,765,exp,45-54,to_inst,75.13586957,north,direct,1,39,700-800
24933,2019,cf,male,nopre,type2,p4,l1,nopc,b/c,236500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,248000,sb,pr,home,1u,3120,crif,673,cib,35-44,to_inst,95.36290323,central,direct,1,38,600-700
24934,2019,ncf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,866500,3.99,0.3904,2596.45,360,neg_amm,not_int,not_lpsm,1508000,sb,pr,home,1u,13620,crif,876,exp,35-44,not_inst,57.4602122,south,direct,1,44,800-900
24935,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,416500,3.625,-0.1235,2462.96,360,not_neg,not_int,not_lpsm,528000,sb,pr,home,1u,7380,crif,886,exp,45-54,not_inst,78.88257576,north,direct,0,39,800-900
24936,2019,cf,"sex not available",nopre,type2,p3,l1,nopc,b/c,436500,3.25,0.4238,12283.66,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1u,4920,crif,772,exp,55-64,to_inst,85.92519685,south,direct,0,38,700-800
24937,2019,ncf,joint,nopre,type1,p3,l1,nopc,nob/c,356500,4.125,0.1691,786.33,360,not_neg,not_int,not_lpsm,608000,sb,pr,home,1u,3720,crif,640,exp,55-64,not_inst,58.63486842,north,direct,0,49,600-700
24938,2019,cf,male,nopre,type3,p4,l1,nopc,nob/c,386500,2.75,-0.7794,3808.56,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1u,5760,cib,798,cib,45-54,not_inst,90.30373832,south,direct,0,39,700-800
24939,2019,cf,female,nopre,type1,p1,l1,nopc,nob/c,596500,3.875,-0.0231,3375.48,360,not_neg,not_int,not_lpsm,668000,sb,pr,home,1u,6780,crif,858,exp,25-34,not_inst,89.29640719,north,direct,0,39,800-900
24940,2019,cf,"sex not available",nopre,type1,p3,l1,nopc,nob/c,196500,4.125,0.4465,3188.01,312,not_neg,not_int,not_lpsm,338000,sb,pr,home,1u,9060,cib,543,exp,25-34,to_inst,58.13609467,south,direct,0,30,500-600
24941,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,206500,2.99,0.245,5882.75,180,not_neg,not_int,not_lpsm,708000,sb,pr,home,1u,9600,exp,846,cib,65-74,to_inst,29.16666667,north,direct,0,23,800-900
24942,2019,cf,joint,nopre,type3,p3,l1,nopc,nob/c,136500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,3360,equi,555,exp,65-74,to_inst,75.13586957,north,direct,1,39,500-600
24943,2019,ncf,female,nopre,type1,p3,l1,nopc,nob/c,166500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,4560,equi,603,exp,65-74,to_inst,75.13586957,north,direct,1,39,600-700
24944,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,606500,3.625,0.0945,14690.09,360,not_neg,not_int,not_lpsm,808000,sb,ir,home,1u,22500,exp,808,exp,35-44,not_inst,75.06188119,central,direct,0,28,800-900
24945,2019,cf,"sex not available",nopre,type2,p4,l1,nopc,b/c,86500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,948000,sb,pr,home,1u,3300,cib,519,exp,55-64,to_inst,9.124472574,south,direct,1,31,500-600
24946,2019,ncf,female,nopre,type1,p2,l1,nopc,nob/c,116500,3.99,0.3904,2596.45,180,not_neg,not_int,not_lpsm,128000,sb,ir,home,1u,4140,cib,786,exp,45-54,not_inst,91.015625,south,direct,1,11,700-800
24947,2019,cf,male,pre,type1,p3,l1,nopc,nob/c,426500,3.5,0.5271,3854,180,not_neg,not_int,not_lpsm,598000,sb,pr,home,1u,6000,cib,769,cib,45-54,not_inst,71.32107023,south,direct,0,42,700-800
24948,2019,ncf,male,pre,type1,p3,l1,nopc,nob/c,166500,3.99,0.5893,4044.53,144,not_neg,not_int,not_lpsm,238000,sb,pr,home,1u,6600,crif,685,cib,35-44,to_inst,69.95798319,north,direct,0,30,600-700
24949,2019,cf,"sex not available",pre,type1,p3,l1,nopc,nob/c,426500,3.375,-0.0529,2596.45,180,not_neg,not_int,not_lpsm,608000,sb,pr,home,1u,11340,crif,556,cib,35-44,to_inst,70.14802632,south,direct,0,27,500-600
24950,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,376500,4.5,-0.088,0,360,neg_amm,not_int,not_lpsm,718000,sb,pr,home,1u,7080,exp,567,cib,65-74,not_inst,52.43732591,north,direct,0,20,500-600
24951,2019,cf,male,nopre,type2,p1,l1,nopc,b/c,286500,3.25,0.4639,0,360,not_neg,not_int,not_lpsm,298000,sb,pr,home,1u,4800,cib,632,cib,35-44,not_inst,96.1409396,north,direct,0,31,600-700
24952,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,706500,4.125,0.327,0,360,not_neg,not_int,not_lpsm,888000,sb,pr,home,1u,8520,cib,818,exp,35-44,not_inst,79.56081081,south,direct,0,40,800-900
24953,2019,cf,"sex not available",nopre,type2,p4,l1,nopc,b/c,146500,4.75,1.5693,0,360,not_neg,not_int,not_lpsm,148000,sb,pr,home,1u,2760,exp,584,cib,<25,to_inst,98.98648649,south,direct,0,55,500-600
24954,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,446500,3.875,0.6514,295,240,not_neg,not_int,not_lpsm,628000,sb,pr,home,1u,7140,exp,750,exp,55-64,to_inst,71.09872611,north,direct,0,34,700-800
24955,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,286500,3.875,0.2859,1250,360,not_neg,not_int,not_lpsm,608000,sb,pr,home,1u,5820,exp,808,cib,55-64,to_inst,47.12171053,south,direct,0,22,800-900
24956,2019,cf,joint,nopre,type3,p3,l1,nopc,nob/c,166500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,2100,equi,838,exp,65-74,not_inst,75.13586957,north,direct,1,39,800-900
24957,2019,cf,female,nopre,type2,p4,l1,nopc,b/c,636500,3.99,0.3904,2596.45,360,not_neg,int_only,not_lpsm,658000,sb,pr,home,1u,12000,cib,741,cib,65-74,to_inst,96.7325228,south,direct,1,36,700-800
24958,2019,cf,female,nopre,type2,p3,l1,nopc,b/c,226500,3.625,0.5626,2596.45,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1u,3720,crif,820,cib,25-34,not_inst,87.79069767,north,direct,0,40,800-900
24959,2019,cf,"sex not available",nopre,type1,p3,l2,nopc,nob/c,316500,4.5,0.4649,4771.25,360,not_neg,not_int,not_lpsm,928000,sb,pr,home,1u,5880,crif,665,cib,65-74,to_inst,34.10560345,south,direct,0,24,600-700
24960,2019,cf,"sex not available",nopre,type1,p3,l1,nopc,nob/c,156500,3.99,0.4597,3000,360,not_neg,not_int,not_lpsm,208000,sb,pr,home,1u,3300,crif,783,exp,>74,to_inst,75.24038462,south,direct,0,30,700-800
24961,2019,cf,male,nopre,type1,p1,l2,nopc,nob/c,706500,4.875,0.6484,1645.03,360,not_neg,not_int,not_lpsm,748000,sb,pr,home,1u,8400,exp,663,cib,35-44,not_inst,94.45187166,south,direct,0,46,600-700
24962,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,196500,4.25,0.7872,5493.02,240,not_neg,not_int,not_lpsm,318000,sb,pr,home,1u,5520,exp,612,cib,65-74,to_inst,61.79245283,north,direct,0,30,600-700
24963,2019,cf,male,nopre,type3,p1,l1,nopc,nob/c,166500,4.5,0.7084,1680,360,not_neg,not_int,not_lpsm,168000,sb,pr,home,1u,2040,crif,739,cib,65-74,to_inst,99.10714286,north,direct,0,52,700-800
24964,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,486500,3.875,-0.1583,7305,360,not_neg,not_int,not_lpsm,1198000,sb,pr,home,1u,8580,cib,812,cib,45-54,not_inst,40.60934891,north,direct,0,33,800-900
24965,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,406500,4.375,0.0301,0,360,not_neg,not_int,not_lpsm,428000,sb,pr,home,1u,10740,exp,571,exp,45-54,not_inst,94.97663551,central,direct,0,44,500-600
24966,2019,ncf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,146500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,188000,sb,pr,home,1u,2400,crif,870,cib,35-44,to_inst,77.92553191,south,direct,1,49,800-900
24967,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,306500,4.875,0.9155,1330.09,360,not_neg,not_int,not_lpsm,408000,sb,ir,home,1u,12600,crif,793,exp,35-44,not_inst,75.12254902,north,direct,0,30,700-800
24968,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,266500,3.875,0.5347,6245,300,not_neg,not_int,not_lpsm,298000,sb,pr,home,1u,5040,crif,804,cib,35-44,to_inst,89.4295302,north,direct,0,26,800-900
24969,2019,cf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,436500,3.5,0.5636,9323.75,240,not_neg,not_int,not_lpsm,588000,sb,pr,home,1u,7860,cib,801,exp,35-44,to_inst,74.23469388,south,direct,0,40,800-900
24970,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,446500,3.375,-0.1955,0,360,not_neg,not_int,not_lpsm,1308000,sb,pr,home,1u,5700,cib,711,cib,55-64,not_inst,34.13608563,north,direct,0,47,700-800
24971,2019,cf,female,nopre,type2,p1,l1,nopc,b/c,216500,3.5,0.8157,0,360,not_neg,not_int,not_lpsm,218000,sb,pr,home,1u,2580,cib,673,exp,55-64,not_inst,99.31192661,central,direct,0,49,600-700
24972,2019,cf,"sex not available",nopre,type1,p1,l1,nopc,nob/c,476500,3.99,0.2859,2596.45,360,not_neg,int_only,not_lpsm,688000,sb,pr,home,1u,15180,cib,634,exp,45-54,to_inst,69.25872093,south,direct,0,23,600-700
24973,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,466500,3.625,0.0903,1790.25,360,not_neg,not_int,not_lpsm,658000,sb,pr,home,1u,8700,cib,834,cib,55-64,not_inst,70.89665653,north,direct,0,33,800-900
24974,2019,cf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,326500,3.99,0.3904,2596.45,240,not_neg,int_only,not_lpsm,418000,sb,pr,home,1u,5400,equi,764,exp,25-34,not_inst,75.13586957,south,direct,1,39,700-800
24975,2019,cf,joint,nopre,type2,p1,l1,nopc,b/c,656500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,678000,sb,pr,home,1u,8160,crif,865,exp,25-34,not_inst,96.82890855,north,direct,1,60,800-900
24976,2019,cf,"sex not available",nopre,type1,p1,l1,nopc,nob/c,506500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,808000,sb,ir,home,2u,9180,exp,593,cib,45-54,to_inst,62.68564356,south,direct,1,44,500-600
24977,2019,cf,"sex not available",pre,type3,p4,l1,nopc,nob/c,246500,3.75,-0.1094,0,360,not_neg,not_int,not_lpsm,358000,sb,pr,home,1u,5760,exp,511,exp,35-44,to_inst,68.8547486,south,direct,0,39,500-600
24978,2019,cf,joint,pre,type1,p3,l1,nopc,nob/c,186500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,288000,sb,pr,home,1u,5640,crif,533,exp,65-74,to_inst,64.75694444,south,direct,1,31,500-600
24979,2019,cf,joint,nopre,type1,p3,l2,opc,nob/c,56500,4.5,0.252,2596.45,360,not_neg,int_only,not_lpsm,2008000,sb,pr,home,1u,7980,exp,677,exp,65-74,to_inst,2.81374502,north,direct,0,41,600-700
24980,2019,cf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,486500,4.75,0.2531,4177.19,360,not_neg,not_int,not_lpsm,578000,sb,sr,home,1u,9840,exp,774,cib,65-74,to_inst,84.16955017,south,direct,0,44,700-800
24981,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,346500,3.99,-0.0249,6370,360,not_neg,not_int,not_lpsm,3408000,sb,pr,home,1u,11460,exp,638,exp,>74,to_inst,10.16725352,north,direct,0,25,600-700
24982,2019,cf,male,pre,type1,p3,l1,nopc,nob/c,136500,3.875,0.9787,2940.31,180,not_neg,not_int,not_lpsm,348000,sb,pr,home,1u,3660,exp,644,cib,55-64,to_inst,39.22413793,north,direct,0,44,600-700
24983,2019,cf,male,pre,type3,p1,l1,nopc,nob/c,586500,3.5,-0.2979,2800,360,not_neg,not_int,not_lpsm,588000,sb,pr,home,1u,7140,exp,732,cib,35-44,to_inst,99.74489796,south,direct,0,49,700-800
24984,2019,cf,female,nopre,type1,p4,l1,nopc,nob/c,336500,3.99,0.3904,2596.45,360,not_neg,not_int,lpsm,418000,sb,pr,home,1u,7440,equi,586,exp,55-64,to_inst,75.13586957,north,direct,1,39,500-600
24985,2019,cf,female,nopre,type2,p3,l1,nopc,b/c,76500,4.75,1.3051,1818.9,300,neg_amm,not_int,not_lpsm,88000,sb,pr,home,1u,2940,cib,642,cib,35-44,to_inst,86.93181818,north,direct,0,45,600-700
24986,2019,ncf,male,pre,type3,p4,l1,nopc,nob/c,286500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,258000,sb,pr,home,1u,5760,exp,872,cib,65-74,to_inst,111.0465116,south,direct,1,39,800-900
24987,2019,cf,"sex not available",nopre,type1,p4,l1,nopc,nob/c,136500,3.625,0.544,3817.34,180,not_neg,not_int,not_lpsm,208000,sb,pr,home,1u,3000,exp,898,cib,55-64,to_inst,65.625,south,direct,0,45,800-900
24988,2019,ncf,"sex not available",pre,type1,p1,l1,nopc,nob/c,486500,3.99,-0.168,11957.75,360,not_neg,not_int,not_lpsm,598000,sb,pr,home,1u,14640,cib,734,cib,45-54,to_inst,81.35451505,south,direct,0,31,700-800
24989,2019,cf,female,nopre,type1,p1,l1,nopc,nob/c,416500,3.75,-0.4929,7265.8,360,not_neg,int_only,not_lpsm,498000,sb,pr,home,1u,3840,cib,639,cib,25-34,not_inst,83.63453815,north,direct,0,47,600-700
24990,2019,cf,male,nopre,type1,p1,l1,nopc,nob/c,186500,4.875,0.3555,4950,360,not_neg,not_int,not_lpsm,348000,sb,pr,home,1u,2880,exp,506,cib,55-64,not_inst,53.59195402,north,direct,0,46,500-600
24991,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,186500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,5700,equi,664,exp,65-74,to_inst,75.13586957,north,direct,1,39,600-700
24992,2019,cf,male,nopre,type2,p1,l1,nopc,b/c,316500,3.375,0.7659,7628.9,360,not_neg,not_int,not_lpsm,318000,sb,pr,home,1u,7680,exp,670,cib,45-54,not_inst,99.52830189,north,direct,0,32,600-700
24993,2019,cf,male,nopre,type2,p4,l1,nopc,b/c,346500,3.99,0.3904,2596.45,360,not_neg,int_only,not_lpsm,478000,sb,pr,home,1u,5760,exp,577,cib,35-44,to_inst,72.48953975,north,direct,1,39,500-600
24994,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,326500,3.25,-0.1973,9271.25,348,not_neg,not_int,not_lpsm,438000,sb,pr,home,1u,6840,exp,857,cib,55-64,to_inst,74.543379,south,direct,0,46,800-900
24995,2019,cf,joint,nopre,type1,p3,l2,nopc,nob/c,256500,4.125,0.4474,0,180,not_neg,not_int,not_lpsm,818000,sb,pr,home,1u,10260,crif,653,exp,55-64,to_inst,31.35696822,north,direct,0,10,600-700
24996,2019,cf,male,nopre,type1,p1,l1,nopc,nob/c,226500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,408000,sb,pr,home,1u,3120,crif,595,cib,<25,to_inst,55.51470588,north,direct,1,41,500-600
24997,2019,cf,joint,nopre,type1,p1,l1,nopc,nob/c,226500,4.75,0.3399,1164.27,360,neg_amm,not_int,not_lpsm,588000,sb,ir,home,1u,17340,exp,639,exp,55-64,not_inst,38.52040816,north,direct,0,32,600-700
24998,2019,ncf,joint,pre,type1,p1,l1,nopc,nob/c,906500,4.375,-0.0131,1702.16,360,not_neg,not_int,not_lpsm,1308000,sb,pr,home,1u,12180,cib,787,exp,35-44,not_inst,69.30428135,south,direct,0,39,700-800
24999,2019,cf,joint,nopre,type1,p4,l1,nopc,nob/c,386500,3.5,0.1222,5634.69,360,not_neg,not_int,not_lpsm,558000,sb,pr,home,1u,5520,cib,560,exp,45-54,to_inst,69.26523297,south,direct,0,38,500-600
25000,2019,cf,joint,nopre,type2,p1,l1,nopc,b/c,496500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,508000,sb,pr,home,1u,6060,crif,613,exp,25-34,not_inst,97.73622047,south,direct,1,56,600-700
25001,2019,ncf,"sex not available",nopre,type1,p3,l1,nopc,nob/c,106500,3.99,0.3904,2596.45,180,not_neg,not_int,not_lpsm,418000,sb,pr,home,1u,5220,equi,514,exp,45-54,to_inst,75.13586957,south,direct,1,39,500-600
